PLZ;Stadt;Lat;Lon;LatMax;LatMin;LonMax;LonMin;Filename
9228;Chemnitz, Germany;508.823.933;128.686.772;50.903.213;50.869.523;12.896.236;12.823.166;09228.json
9232;Hartmannsdorf, Germany;508.800.728;12.794.579;509.005.479;508.671.351;12.826.398;12.761.274;09232.json
9235;Burkhardtsdorf, Germany;507.344.175;129.225.002;50.759.056;50.704.716;12.979.176;12.855.477;09235.json
9236;Claußnitz, Germany;509.409.267;128.904.197;509.581.389;50.914.116;129.346.669;128.212.201;09236.json
9241;Mühlau, Germany;508.996.001;127.653.047;50.918.489;50.883.866;127.842.001;127.389.339;09241.json
9243;Niederfrohna, Germany;508.835.205;127.378.334;509.081.469;50.866.222;1.276.653;12.698.751;09243.json
9244;Oberlichtenau,  Lichtenau, Germany;509.049.977;129.785.604;509.084.581;509.002.087;129.841.846;129.664.898;09244.json
9247;Röhrsdorf,  Chemnitz, Germany;508.674.117;128.057.728;508.687.606.803;508.660.627.197;128.071.217.803;128.044.238.197;09247.json
9249;Taura, Germany;509.176.492;128.433.679;509.288.978;508.967.949;12.896.915;128.199.729;09249.json
9306;Rochlitz, Germany;510.506.956;127.944.283;510.788.566;510.090.898;128.192.074;127.098.647;09306.json
9322;Penig, Germany;50.938.449;126.975.126;51.006.813;50.901.311;12.768.537;126.151.829;09322.json
9326;Geringswalde, Germany;510.778.024;129.057.027;5.110.554;51.043.494;129.538.319;128.622.139;09326.json
9328;Lunzenau, Germany;509.698.829;127.485.375;509.903.059;50.939.819;128.097.411;126.912.071;09328.json
9337;Hohenstein-Ernstthal, Germany;508.009.829;127.132.681;508.340.181;507.890.049;127.690.684;126.543.378;09337.json
9350;Lichtenstein, Germany;507.547.759;126.271.536;50.784.073;50.721.263;12.669.613;126.006.969;09350.json
9353;Oberlungwitz, Germany;507.864.334;127.238.345;508.038.706;50.768.502;12.779.623;126.827.871;09353.json
9355;Gersdorf, Germany;507.584.086;127.100.191;50.782.322;50.738.811;12.729.262;12.679.089;09355.json
9356;Sankt Egidien, Germany;50.789.161;126.145.217;508.249.569;50.765.749;12.667.266;125.841.239;09356.json
9366;Niederdorf, Germany;507.266.593;127.861.111;507.517.648;507.116.875;128.416.958;127.713.718;09366.json
9376;Oelsnitz/Erzgebirge, Germany;507.107.383;127.018.167;507.409.501;50.688.343;12.750.326;12.640.367;09376.json
9380;Thalheim, Germany;507.054.352;128.445.115;50.720.691;50.677.797;128.720.449;128.176.039;09380.json
9385;Lugau, Germany;507.399.531;127.466.648;50.790.013;507.275.621;12.793.958;12.713.006;09385.json
9387;Jahnsdorf/Erzgeb, Germany;507.655.397;128.021.669;50.788.582;507.156.809;1.286.967;127.799.501;09387.json
9390;Gornsdorf, Germany;507.087.049;128.860.139;507.229.579;506.935.761;129.007.349;128.642.089;09390.json
9392;Auerbach, Germany;506.876.767;129.121.843;507.031.599;50.669.413;129.369.851;128.839.441;09392.json
9394;Hohndorf, Germany;50.745.437;126.742.535;507.548.409;50.730.651;1.269.274;126.508.099;09394.json
9399;Niederwürschnitz, Germany;507.212.242;127.550.645;50.744.972;507.096.979;127.778.491;127.383.061;09399.json
9405;Gornau, Germany;50.747.343;130.745.827;50.769.955;50.718.937;130.918.349;130.169.978;09405.json
9419;Thum, Germany;506.704.527;129.512.865;50.696.974;50.653.186;12.995.873;12.900.279;09419.json
9423;Gelenau/Erzgeb., Germany;507.146.352;129.506.404;507.331.549;50.688.986;13.010.342;128.903.821;09423.json
9427;Ehrenfriedersdorf, Germany;506.481.248;129.686.832;50.670.373;506.233.003;130.027.201;129.023.751;09427.json
9429;Wolkenstein, Germany;506.558.649;130.703.252;50.690.813;506.245.521;131.331.019;130.113.079;09429.json
9430;Drebach, Germany;506.760.468;130.200.248;507.279.809;50.641.782;130.704.999;12.969.022;09430.json
9432;Großolbersdorf, Germany;506.945.695;130.888.151;507.220.298;506.726.529;131.227.581;130.567.389;09432.json
9434;Krumhermersdorf,  Zschopau, Germany;507.349.444;131.033.586;507.542.569;507.242.532;131.128.566;130.976.007;09434.json
9437;Waldkirchen,  Grünhainichen, Germany;507.667.318;131.084.134;507.689.346;507.605.247;131.262.536;130.910.303;09437.json
9439;Amtsberg, Germany;507.342.313;130.108.691;507.795.961;507.173.459;130.571.869;129.674.759;09439.json
9456;Mildenau, Germany;505.814.953;130.552.336;50.616.025;505.373.281;131.494.949;129.714.409;09456.json
9465;Sehmatal, Germany;504.846.763;129.806.115;50.551.098;504.452.621;130.294.761;12.915.916;09465.json
9468;Tannenberg, Germany;506.049.814;129.491.665;506.273.879;505.953.164;129.809.273;129.062.007;09468.json
9471;Bärenstein,  Bärenstein, Germany;505.086.111;130.194.444;505.157.066;505.015.145;130.354.518;13.003.437;09471.json
9474;Walthersdorf,  Crottendorf, Germany;50.542.056;129.559.451;505.472.997;50.537.438;129.644.962;129.447.798;09474.json
9477;Jöhstadt, Germany;505.320.843;13.119.003;50.575.622;50.500.042;132.002.311;130.580.229;09477.json
9481;Scheibenberg, Germany;505.407.967;129.129.742;505.663.647;505.115.385;129.298.029;128.857.435;09481.json
9484;Oberwiesenthal, Germany;50.440.517;129.526.705;5.046.624;504.039.729;130.224.941;128.595.161;09484.json
9487;Schlettau, Germany;505.666.404;129.538.822;506.014.988;505.364.099;129.841.429;129.038.651;09487.json
9488;Neundorf,  Thermalbad Wiesenbad, Germany;506.317.613;130.158.111;506.349.183;506.264.878;130.245.986;130.042.226;09488.json
